"req","tempo_baseline_ms","tempo_otimizado_ms","speedup_x"
"REQ-01","2.48","2.18","1.14"
"REQ-02","6.54","5.75","1.14"
"REQ-03","5.16","4.10","1.26"
"REQ-04","6.49","5.90","1.10"
"REQ-05","6.96","6.48","1.07"
"REQ-06","5.06","4.99","1.01"
"REQ-07","1.50","1.37","1.10"
"REQ-08","0.42","0.40","1.05"
"REQ-09","5.33","8.73","0.61"
"REQ-10","14.37","14.79","0.97"
"REQ-11","4.35","4.38","0.99"
"REQ-12","4.46","4.59","0.97"
"REQ-13","14.57","13.10","1.11"
"REQ-14","5.58","5.27","1.06"
"REQ-15","4.21","4.36","0.96"
"REQ-16","6.17","6.54","0.94"
"REQ-17","4.47","4.36","1.03"
"REQ-18","0.56","0.62","0.90"
"REQ-19","8.49","6.16","1.38"
"REQ-20","8.45","8.34","1.01"
"REQ-21","4.00","4.16","0.96"
"REQ-22","2.23","2.24","0.99"
"REQ-23","4.91","5.03","0.98"
"REQ-24","10.26","12.05","0.85"
"REQ-25","11.07","11.58","0.96"
"REQ-26","3.65","3.73","0.98"
"REQ-27","10.73","10.74","1.00"
"REQ-28","0.46","0.52","0.89"
"REQ-29","2.64","2.61","1.01"
"REQ-30","5.99","6.08","0.99"
